name,max_procs,gr,v,sec/op
Blocked,12,9,3,2.089e-05
Blocked,12,9,5,2.9682e-05
Blocked,12,9,7,3.4461e-05
Blocked,12,9,10,4.8006e-05
Blocked,12,9,20,0.000101571
Blocked,12,9,50,0.000482079
Blocked,12,9,100,0.001871536
Blocked,12,9,500,0.050281188
Blocked,12,9,1000,0.343011573
Blocked,12,9,2000,3.0368616150000003
Blocked,12,64,5000,40.734356609
Blocked,12,64,7500,132.84348505600002
PhaseBlocked,12,9,3,2.5593e-05
PhaseBlocked,12,9,5,3.2033e-05
PhaseBlocked,12,9,7,3.444e-05
PhaseBlocked,12,9,10,3.8705e-05
PhaseBlocked,12,9,20,7.967900000000001e-05
PhaseBlocked,12,9,50,0.000385644
PhaseBlocked,12,9,100,0.001625519
PhaseBlocked,12,16,500,0.061758776
PhaseBlocked,12,49,1000,0.34576335
PhaseBlocked,12,196,2000,2.54613932
PhaseBlocked,12,1156,5000,37.556716595000005
PhaseBlocked,12,2500,7500,150.901521855
Rowed,12,3,3,1.8102e-05
Rowed,12,5,5,3.830400000000001e-05
Rowed,12,7,7,5.3329e-05
Rowed,12,10,10,9.2198e-05
Rowed,12,12,20,0.00021874
Rowed,12,12,50,0.000704133
Rowed,12,12,100,0.001917395
Rowed,12,14,500,0.048320134
Rowed,12,28,1000,0.297801331
Rowed,12,57,2000,2.482190531
Rowed,12,142,5000,35.235588726
Rowed,12,144,7500,115.782102697
