name,v,gr,max_procs,sec/op
ParallelBlocked,3,12,12,2.3584e-05
ParallelBlocked,5,12,12,3.2225000000000004e-05
ParallelBlocked,7,12,12,3.3701e-05
ParallelBlocked,10,12,12,4.4181e-05
ParallelBlocked,20,12,12,0.000100004
ParallelBlocked,50,12,12,0.000454196
ParallelBlocked,100,12,12,0.001906519
ParallelBlocked,500,12,12,0.050225645
ParallelBlocked,1000,12,12,0.340349477
ParallelBlocked,2000,12,12,3.031399186
ParallelBlocked,5000,12,12,60.518701141
ParallelBlocked,7500,12,12,142.87431490900002
ParallelBlocked,5000,2,12,172.69078004300002
ParallelBlocked,5000,4,12,55.344528788000005
ParallelBlocked,5000,9,12,42.771958298
ParallelBlocked,5000,12,12,42.772459634
ParallelBlocked,5000,24,12,42.557321380000005
ParallelBlocked,5000,48,12,39.405228034
ParallelBlocked,5000,144,12,43.164900908
ParallelBlocked,5000,1000,12,54.141841804
ParallelBlocked,5000,5000,12,83.654004164
ParallelBlocked,5000,48,1,188.91281174
ParallelBlocked,5000,48,2,103.86273101
ParallelBlocked,5000,48,4,60.032794576
ParallelBlocked,5000,48,8,43.570133763
ParallelBlocked,5000,48,12,39.607887131000005
ParallelBlocked,5000,48,16,40.034068311000006
ParallelBlocked,5000,48,24,40.074312882
ParallelBlocked,5000,48,32,40.085078795
ParallelPhaseBlocked,3,12,12,3.3371e-05
ParallelPhaseBlocked,5,12,12,3.3008e-05
ParallelPhaseBlocked,7,12,12,3.005e-05
ParallelPhaseBlocked,10,12,12,3.385e-05
ParallelPhaseBlocked,20,12,12,5.1197000000000005e-05
ParallelPhaseBlocked,50,12,12,0.000233697
ParallelPhaseBlocked,100,12,12,0.001227539
ParallelPhaseBlocked,500,12,12,0.074446637
ParallelPhaseBlocked,1000,12,12,0.5472397290000001
ParallelPhaseBlocked,2000,12,12,4.534894356000001
ParallelPhaseBlocked,5000,12,12,68.747343676
ParallelPhaseBlocked,7500,12,12,228.154844311
ParallelPhaseBlocked,5000,2,12,184.628638882
ParallelPhaseBlocked,5000,4,12,142.19505311900002
ParallelPhaseBlocked,5000,9,12,69.13580693
ParallelPhaseBlocked,5000,12,12,69.22615905400001
ParallelPhaseBlocked,5000,24,12,55.562782586
ParallelPhaseBlocked,5000,48,12,47.522660432
ParallelPhaseBlocked,5000,144,12,42.637010236
ParallelPhaseBlocked,5000,1000,12,36.978468914
ParallelPhaseBlocked,5000,5000,12,36.882498215000005
ParallelPhaseBlocked,5000,48,1,184.114573343
ParallelPhaseBlocked,5000,48,2,101.206409511
ParallelPhaseBlocked,5000,48,4,58.82314267500001
ParallelPhaseBlocked,5000,48,8,46.746713864
ParallelPhaseBlocked,5000,48,12,45.401415363000005
ParallelPhaseBlocked,5000,48,16,45.520117379000006
ParallelPhaseBlocked,5000,48,24,45.703949064
ParallelPhaseBlocked,5000,48,32,45.455238185000006
ParallelRowed,3,12,12,3.9669e-05
ParallelRowed,5,12,12,4.8923000000000006e-05
ParallelRowed,7,12,12,4.4779000000000006e-05
ParallelRowed,10,12,12,5.7666000000000007e-05
ParallelRowed,20,12,12,0.000123953
ParallelRowed,50,12,12,0.000514838
ParallelRowed,100,12,12,0.001876009
ParallelRowed,500,12,12,0.047478096
ParallelRowed,1000,12,12,0.292455133
ParallelRowed,2000,12,12,2.7973498830000003
ParallelRowed,5000,12,12,36.917822293
ParallelRowed,7500,12,12,121.150016156
ParallelRowed,5000,2,12,93.392926113
ParallelRowed,5000,4,12,51.415574177
ParallelRowed,5000,9,12,41.560313638
ParallelRowed,5000,12,12,36.866927296
ParallelRowed,5000,24,12,36.791273601
ParallelRowed,5000,48,12,36.248781155
ParallelRowed,5000,144,12,35.247764563000004
ParallelRowed,5000,1000,12,34.992971501
ParallelRowed,5000,5000,12,45.123993473000006
ParallelRowed,5000,48,1,171.52258987800002
ParallelRowed,5000,48,2,91.865431286
ParallelRowed,5000,48,4,51.970315179
ParallelRowed,5000,48,8,38.633682066000006
ParallelRowed,5000,48,12,36.241396976
ParallelRowed,5000,48,16,36.387214512
ParallelRowed,5000,48,24,36.399677473
ParallelRowed,5000,48,32,36.402283217
Sequential,3,1,12,6.375e-07
Sequential,5,1,12,8.960000000000001e-07
Sequential,7,1,12,1.751e-06
Sequential,10,1,12,4.65e-06
Sequential,20,1,12,2.6783e-05
Sequential,50,1,12,0.000363052
Sequential,100,1,12,0.002071641
Sequential,500,1,12,0.190817483
Sequential,1000,1,12,1.491696198
Sequential,2000,1,12,12.100814562
Sequential,5000,1,12,183.509026698
Sequential,7500,1,12,610.149246413
