100
0,50,2,-,35,4,2,48,-,42,21,39,13,2,32,-,10,12,-,-,-,46,-,12,-,5,24,18,31,5,-,43,50,19,40,34,15,17,42,18,-,39,-,4,22,-,-,-,27,29,5,4,39,8,44,37,23,-,22,12,6,42,13,24,39,11,48,-,-,19,7,-,38,23,-,31,-,-,34,21,33,44,-,5,-,11,36,17,9,-,11,7,31,34,-,-,31,-,28,45
-,0,6,38,4,-,-,13,-,48,-,-,17,10,25,3,-,28,42,-,-,2,19,-,-,33,5,3,30,11,-,-,-,-,-,-,31,33,-,-,-,43,43,-,19,45,46,-,36,32,32,-,4,35,4,-,28,22,-,19,3,8,-,-,-,-,-,-,23,24,-,36,10,-,37,14,42,27,-,-,-,-,31,10,-,-,15,6,41,47,-,40,16,-,23,-,39,23,18,-
-,7,0,19,7,33,29,-,-,-,-,20,-,-,-,-,37,10,3,-,35,34,18,-,-,38,-,-,-,37,-,37,24,-,30,-,-,9,4,48,47,7,35,-,-,14,11,-,13,-,47,42,8,20,-,-,19,-,11,37,-,-,-,5,30,2,-,-,34,18,36,-,-,21,10,35,25,-,-,-,14,13,-,36,-,-,38,45,-,26,17,37,43,-,6,37,-,-,-,2
-,-,-,0,35,34,39,-,19,43,-,-,-,43,-,33,-,-,14,-,-,45,12,47,-,-,31,18,-,14,16,-,-,9,-,10,-,34,-,20,32,-,45,31,-,-,-,-,-,10,8,-,37,9,17,-,-,12,6,46,-,-,36,-,26,12,44,15,-,35,-,40,-,29,30,19,-,15,28,21,-,-,-,49,35,13,37,38,24,30,40,-,-,-,-,-,-,32,45,32
-,13,3,-,0,23,9,33,25,-,41,44,5,-,26,29,28,15,20,-,50,48,28,40,15,47,-,-,36,38,28,21,48,-,22,17,-,-,19,10,30,-,32,2,24,14,10,-,30,2,39,-,-,33,-,-,9,7,46,46,-,-,-,-,6,22,-,49,-,-,10,-,22,-,23,27,-,46,29,-,9,19,21,-,-,-,12,41,8,-,-,-,19,9,3,34,50,44,-,23
-,19,24,-,18,0,45,3,17,-,-,28,-,16,2,-,40,-,31,31,46,25,45,8,-,45,33,-,-,31,26,50,12,21,32,21,-,42,-,7,47,-,-,33,25,12,2,-,24,50,42,-,-,3,44,44,40,36,49,9,-,-,3,47,40,-,49,-,9,11,34,32,-,4,23,-,-,19,-,-,50,36,-,37,-,-,38,11,27,46,2,30,28,7,47,8,26,-,26,48
-,-,22,50,39,-,0,-,39,15,-,23,40,-,43,-,38,-,39,-,30,25,-,23,4,33,36,-,37,28,15,14,-,-,-,14,17,-,24,-,-,8,4,-,14,14,50,28,-,41,29,-,-,22,-,45,14,39,-,-,9,-,-,-,-,6,32,40,15,14,2,24,15,14,-,25,-,27,24,27,44,21,21,21,29,23,-,-,-,46,-,39,41,-,37,-,3,18,26,-
12,-,43,-,28,16,18,0,19,26,-,28,-,-,-,9,9,-,41,4,-,-,-,-,-,14,-,22,14,29,21,9,50,34,6,-,20,19,-,20,40,16,19,-,16,-,36,19,36,24,19,-,-,15,-,-,24,13,-,36,25,37,46,-,-,22,45,44,47,47,-,-,46,19,29,-,18,-,-,-,34,-,-,23,-,43,14,31,-,14,45,-,-,29,-,27,29,-,-,12
9,39,29,37,-,-,22,-,0,41,-,-,14,28,25,-,45,-,-,-,8,-,45,-,-,47,26,47,11,-,-,-,46,49,41,18,-,-,50,-,20,-,49,-,-,5,11,23,-,48,50,31,3,-,20,29,10,-,-,-,33,-,10,-,22,-,31,13,19,24,-,14,36,-,40,27,25,39,-,-,-,33,9,2,-,-,45,-,-,36,-,-,37,2,-,-,34,27,-,2
30,-,26,14,45,5,12,6,10,0,-,-,-,-,-,-,-,50,-,46,-,-,-,34,-,-,15,2,-,2,14,10,20,15,18,42,-,38,2,-,20,-,41,-,-,-,20,37,14,-,34,-,48,41,13,37,48,20,34,11,7,11,31,31,20,-,-,-,-,-,19,41,36,47,23,16,36,16,22,-,13,21,-,24,-,-,45,17,36,49,-,-,5,8,9,-,3,6,-,19
