20
0,22,-,4,24,-,2,-,6,17,7,13,10,12,-,17,12,4,25,7
-,0,2,4,-,24,-,14,15,25,-,-,12,18,21,15,4,5,16,24
9,12,0,-,9,18,-,-,-,15,19,17,22,18,13,12,17,12,15,2
24,10,10,0,25,24,13,2,9,12,23,19,-,10,-,16,14,12,7,6
10,11,23,-,0,15,-,19,3,12,8,16,20,8,3,4,21,24,22,2
6,21,12,2,16,0,3,2,8,4,23,12,-,2,11,18,25,-,21,-
-,11,-,19,4,12,0,6,2,10,16,20,7,-,20,24,12,2,24,11
11,20,-,19,22,19,24,0,10,19,3,25,-,-,16,15,-,3,25,-
24,24,5,3,12,21,8,21,0,-,3,-,-,24,11,18,5,2,14,9
-,-,-,-,8,10,16,18,19,0,19,17,13,-,22,18,22,-,13,5
12,11,18,21,25,2,-,25,10,2,0,25,23,5,22,12,-,12,9,16
17,-,14,-,-,10,25,-,4,-,21,0,10,8,11,-,14,4,15,18
17,-,16,19,11,19,8,20,19,14,18,10,0,12,-,18,25,25,10,25
20,19,-,12,7,25,-,4,-,11,-,24,24,0,3,-,22,4,5,14
6,15,14,14,-,23,-,7,20,14,10,5,22,10,0,-,18,19,-,14
5,16,6,14,22,-,4,19,13,2,12,18,17,-,15,0,24,5,-,7
5,9,7,15,17,14,-,10,10,-,11,-,9,17,3,2,0,9,15,-
25,24,15,19,-,-,17,6,-,17,15,25,11,16,6,-,24,0,15,-
-,17,22,21,5,-,22,22,21,23,20,17,7,-,10,2,13,18,0,23
12,5,3,8,-,6,3,3,6,25,-,-,25,3,8,21,-,-,21,0
