50
0,18,-,11,4,-,20,7,7,19,8,6,-,-,-,25,-,20,13,25,-,-,-,23,-,21,-,13,22,18,22,-,3,14,16,12,-,-,15,10,17,17,-,6,24,18,-,-,2,-
2,0,23,17,3,16,4,2,-,6,-,-,8,18,21,-,4,6,-,25,19,20,21,11,18,18,-,3,23,-,-,3,2,22,2,-,18,24,6,2,20,11,7,7,15,6,14,5,-,9
25,3,0,-,-,5,-,19,11,10,25,23,7,2,17,4,-,8,-,-,24,-,17,-,16,22,14,15,-,14,7,-,-,17,11,16,7,-,11,5,-,13,25,19,13,7,-,6,25,18
2,4,16,0,12,6,24,7,23,24,17,-,18,-,21,-,16,-,-,-,17,5,-,-,-,10,22,-,20,-,4,7,-,15,17,-,11,16,16,13,13,20,18,5,22,-,15,25,15,8
23,16,23,-,0,-,10,22,-,13,14,8,11,14,-,-,-,-,-,-,3,6,13,22,-,-,18,21,20,23,25,-,-,19,-,16,4,24,-,4,16,-,-,22,18,-,13,12,-,-
2,3,18,24,15,0,25,9,22,17,14,-,13,-,-,8,10,20,13,12,16,19,9,11,22,-,-,14,6,-,10,-,17,-,21,6,-,14,-,7,-,18,-,-,7,4,23,7,22,-
13,11,-,-,3,4,0,-,23,5,-,20,14,5,13,-,-,3,-,15,25,5,25,20,4,9,-,-,12,4,25,-,-,2,-,12,4,2,15,5,13,-,14,-,6,-,-,18,18,-
20,12,-,18,25,-,-,0,4,3,5,-,5,-,19,14,23,11,23,12,19,5,13,-,24,11,6,-,13,10,17,5,19,11,6,14,17,21,7,24,19,-,19,10,13,5,15,-,22,8
-,-,5,5,-,-,-,-,0,22,19,-,7,6,22,2,-,18,-,19,-,21,16,-,9,-,-,4,18,23,-,15,13,20,25,-,25,14,18,23,17,10,-,-,-,17,3,-,6,-
15,25,9,2,10,2,18,-,22,0,25,15,10,16,5,3,-,3,13,-,23,5,6,19,13,2,20,25,3,-,-,22,11,11,-,9,11,3,23,-,11,-,-,17,14,17,-,20,-,23
12,12,2,9,-,-,18,14,-,13,0,7,12,23,21,13,5,-,9,5,4,20,11,5,-,20,21,-,6,10,25,3,-,11,-,-,24,20,16,20,5,10,-,25,8,9,3,9,24,-
-,-,8,-,-,-,-,-,12,13,7,0,-,15,10,25,21,11,3,-,9,19,16,-,19,17,-,-,-,-,-,6,3,3,14,7,10,17,-,-,-,-,-,17,-,-,12,-,17,19
18,20,13,15,-,-,11,23,14,11,7,-,0,-,-,5,18,23,3,3,-,5,-,12,-,14,-,23,-,-,25,-,-,5,15,22,24,25,8,17,7,-,13,18,2,18,14,4,7,-
6,19,16,-,-,18,21,-,22,-,7,-,-,0,10,5,22,5,25,-,17,22,-,-,19,-,21,-,-,23,16,25,16,-,4,4,-,11,18,10,9,-,7,9,-,24,17,-,-,16
-,9,2,21,19,4,20,25,5,7,9,12,2,23,0,12,-,23,16,3,3,17,-,3,-,14,19,-,7,-,-,20,11,14,12,22,15,23,17,9,-,-,2,25,11,23,20,-,17,-
-,4,14,8,21,10,22,25,-,-,-,12,-,17,21,0,9,22,2,-,-,18,7,-,18,17,11,-,6,14,9,17,19,-,21,9,-,5,16,9,-,23,15,23,16,25,8,-,15,14
-,3,20,-,15,-,23,-,7,-,-,-,12,2,-,6,0,-,-,19,7,23,-,23,19,8,-,4,-,6,-,19,-,-,7,15,6,5,19,7,-,-,8,8,20,10,-,11,3,12
10,3,18,-,-,-,10,2,21,-,15,-,20,24,9,6,10,0,-,9,22,15,6,10,24,9,7,-,25,-,-,15,-,20,-,22,20,18,-,6,7,-,4,24,-,-,-,-,17,13
12,-,8,25,6,16,17,25,8,9,9,2,20,8,12,8,21,14,0,6,17,-,3,7,16,-,-,20,-,19,6,10,17,-,-,12,19,-,12,-,-,-,21,20,23,24,-,24,-,12
-,6,14,4,10,-,-,-,6,16,9,2,-,12,19,2,21,20,-,0,-,12,4,-,-,-,-,-,3,21,12,-,14,14,6,19,-,19,5,3,11,22,4,4,12,8,5,3,24,5
2,6,11,12,13,14,24,-,10,13,11,10,17,-,-,17,7,23,25,5,0,3,13,3,11,11,15,-,25,17,-,11,-,3,8,22,2,-,17,6,-,25,18,12,21,6,6,-,20,2
8,23,-,22,16,10,2,20,11,22,2,-,-,9,-,-,10,9,21,9,11,0,21,2,20,8,-,-,9,3,-,2,-,-,14,8,24,-,19,12,12,5,-,23,13,10,12,7,24,13
10,17,7,-,16,-,-,20,-,23,14,13,-,-,16,-,4,17,-,7,-,-,0,25,15,-,-,17,-,-,21,14,21,9,-,-,15,17,-,5,5,6,11,23,11,10,2,-,-,2
-,5,-,-,-,3,7,7,25,-,16,22,-,19,-,7,20,-,12,14,9,-,15,0,24,13,12,13,19,22,8,-,-,20,16,-,17,16,21,-,-,-,18,-,-,13,22,20,17,25
-,15,5,13,7,22,-,15,-,-,-,22,-,21,20,20,19,-,12,13,-,-,-,6,0,19,18,17,-,5,20,-,24,8,19,13,6,13,25,25,11,9,10,-,-,14,-,-,8,6
-,18,17,5,-,-,24,21,11,14,-,14,-,17,2,-,13,-,25,-,-,13,24,7,-,0,20,-,3,12,-,-,21,19,8,-,23,15,8,10,8,-,19,8,4,25,10,7,-,-
23,24,8,5,-,20,-,-,-,21,14,8,5,-,-,-,15,-,25,19,17,19,7,17,9,25,0,-,5,-,18,25,-,-,3,-,-,8,-,21,15,10,13,15,3,-,-,14,24,18
20,-,17,21,4,10,2,19,18,9,17,-,4,21,-,-,3,3,-,22,18,23,-,9,20,-,18,0,-,22,12,25,5,4,5,-,6,18,7,-,-,-,-,17,-,-,-,-,4,-
-,20,13,3,-,11,-,-,-,-,8,9,21,13,15,9,18,19,12,-,5,-,8,23,22,21,-,2,0,-,17,10,24,7,24,20,-,25,-,19,16,23,21,10,-,11,3,-,12,25
24,13,8,3,14,2,16,-,17,-,-,13,11,6,9,8,4,15,-,13,22,-,-,-,-,-,-,-,21,0,12,3,21,2,17,17,23,5,12,5,16,14,2,-,5,4,7,-,-,23
14,10,-,22,-,16,5,22,25,23,-,-,7,8,16,3,14,15,-,16,4,8,7,-,-,-,-,15,-,25,0,4,16,-,3,-,-,4,-,-,18,-,7,15,9,7,20,14,8,12
4,2,-,15,19,-,17,-,11,12,-,16,8,19,-,13,14,-,8,-,6,20,18,24,4,-,2,20,25,-,11,0,-,11,5,13,25,-,5,12,-,3,17,25,-,19,4,-,-,2
2,13,9,-,-,13,-,19,-,11,12,5,11,-,19,23,9,-,17,11,10,8,16,-,17,25,6,25,-,9,9,-,0,-,-,12,10,6,6,13,18,17,3,8,-,19,22,-,24,8
23,18,21,5,13,5,11,10,9,-,-,13,7,4,18,18,13,19,5,15,10,22,23,16,15,3,4,-,16,21,10,8,2,0,-,-,-,19,2,-,13,-,13,20,-,13,20,19,-,5
11,24,23,-,9,-,-,24,25,-,8,11,9,24,3,-,7,23,-,18,14,21,3,6,-,-,5,-,9,13,19,21,-,21,0,-,12,-,-,6,23,10,10,7,7,16,19,15,14,-
-,22,-,19,25,6,19,-,21,19,19,24,16,20,17,10,-,22,-,11,15,18,15,20,20,20,15,7,-,-,-,2,2,25,12,0,4,10,4,16,20,11,-,18,5,-,17,11,-,3
12,13,7,-,-,19,20,24,18,-,-,-,-,8,18,13,13,6,10,-,-,-,6,-,25,25,17,6,23,-,23,2,2,5,-,18,0,2,9,-,7,-,-,8,12,22,5,9,10,10
-,14,24,24,-,-,20,17,-,7,10,-,22,9,12,9,5,5,5,2,21,20,19,6,3,11,13,-,-,-,-,-,9,18,16,-,-,0,11,17,4,5,-,-,16,5,18,15,3,23
-,3,-,7,19,18,13,2,8,22,-,16,2,23,10,15,21,-,-,18,4,12,4,24,-,23,14,24,24,13,-,2,-,12,-,-,23,13,0,-,8,6,20,6,-,5,11,23,6,5
2,23,25,12,10,20,5,12,8,-,-,13,24,-,25,4,17,9,-,21,22,5,14,11,8,10,20,4,19,6,2,20,19,-,15,19,23,24,-,0,17,18,-,6,9,-,-,16,-,17
-,14,11,20,-,9,12,4,6,10,-,11,2,16,23,2,12,6,-,23,-,20,13,6,-,13,18,10,24,3,13,-,-,23,14,-,21,-,5,-,0,15,-,8,11,-,-,12,6,11
15,17,14,-,-,-,10,13,5,20,7,10,-,-,-,24,7,-,22,17,15,-,-,18,25,16,11,-,-,19,8,13,6,11,12,7,-,25,-,-,23,0,13,16,10,22,-,-,6,9
3,14,-,6,8,-,-,-,3,7,14,8,20,16,-,-,11,2,17,7,13,3,18,3,9,4,-,9,-,17,-,12,8,-,23,14,-,9,-,18,18,3,0,-,-,4,12,18,-,-
8,-,13,4,25,-,12,25,-,17,-,-,-,24,-,-,14,-,15,17,3,7,4,-,23,24,7,7,9,24,-,18,2,12,23,25,4,-,10,2,5,-,7,0,23,7,16,-,-,3
-,16,16,4,6,2,19,25,7,-,25,-,8,-,3,8,3,20,24,21,3,-,7,3,22,-,24,14,15,16,24,20,-,4,-,24,5,14,-,21,12,23,11,15,0,6,-,19,21,-
4,8,-,-,-,-,22,14,13,-,19,-,-,21,24,22,-,21,3,18,13,14,-,13,4,9,6,18,5,-,15,-,16,-,5,23,18,14,14,-,17,22,-,15,25,0,-,22,18,14
-,7,19,13,15,17,11,8,-,11,-,-,3,24,22,9,17,-,-,14,25,10,11,2,-,-,16,14,-,4,-,18,15,2,7,-,-,7,-,17,7,7,14,-,5,-,0,20,-,18
12,9,-,14,3,20,9,7,-,3,-,9,-,18,12,-,18,2,-,12,11,11,8,7,15,-,-,13,19,8,4,11,-,18,6,-,2,-,4,21,14,5,6,10,18,2,7,0,17,6
7,-,21,14,18,-,24,-,-,7,-,24,12,-,-,-,25,-,-,9,21,-,5,-,16,5,7,7,15,-,2,18,19,-,-,13,8,13,19,16,-,2,3,20,8,-,11,22,0,-
3,8,6,-,-,-,-,-,-,-,25,19,16,7,-,-,24,-,6,18,5,16,15,22,2,19,4,-,-,-,19,8,-,13,-,21,9,14,-,2,9,25,20,-,16,-,8,5,12,0
